publish_time,song_time,artist,artist_id,music_name,music_id,album,pic_url,album_id,no,crawl_time,music_url,music_down_url,update_time
2022-06-29,3:30,"李荣浩, 梁咏琪","4292, 8329",紫荆花盛开,1959528822,紫荆花盛开,http://p2.music.126.net/R7yzr15Ftp4Mf59kTvy_uA==/109951167605022957.jpg,147166235,0,2024-11-20 10:51:55,https://music.163.com/song?id=1959528822,Unknown,2024-11-20
Unknown,6:43,梁博,166010,出现又离开 (Live),1363553440,我是唱作人 第2期,http://p2.music.126.net/mAV2OH6nPJd4XLwn80kwpA==/109951164054054313.jpg,78953794,3,2024-11-20 10:51:55,https://music.163.com/song?id=1363553440,Unknown,2024-11-20
2018-08-25,4:30,棱镜乐队,1085047,总有一天你会出现在我身边,1303027499,一次有预谋的初次相遇,http://p2.music.126.net/RfUHXkanpxImcaGqFNWBeA==/109951163598901405.jpg,73702798,1,2024-11-20 10:51:55,https://music.163.com/song?id=1303027499,Unknown,2024-11-20
2007-07-12,4:07,王力宏,5346,我们的歌,25642952,改变自己,http://p2.music.126.net/lHab-TuxFpGuCCv661i7eg==/109951163095170102.jpg,2263157,5,2024-11-20 10:51:55,https://music.163.com/song?id=25642952,Unknown,2024-11-20
2022-04-18,2:50,"Starling8, MoreLearn 27, FIVESTAR","36772893, 31002901, 51613721",苦茶子,1922888354,埋汰,http://p2.music.126.net/VjXYNoGC3lXajZDs0r35XQ==/109951167852652412.jpg,151125530,1,2024-11-20 10:51:55,https://music.163.com/song?id=1922888354,Unknown,2024-11-20
2017-03-05,3:46,张叶蕾,12213291,还是分开,465921195,还是分开,http://p2.music.126.net/tH5FdakJX47uy8mlM0GMWQ==/19218363741925314.jpg,35287063,1,2024-11-20 10:51:55,https://music.163.com/song?id=465921195,Unknown,2024-11-20
Unknown,3:47,李润祺,12929031,茫,1495058484,茫,http://p2.music.126.net/ok5Z4QtDLW9MfadKSGOldQ==/109951165563657438.jpg,98268708,0,2024-11-20 10:51:55,https://music.163.com/song?id=1495058484,Unknown,2024-11-20
2019-12-13,3:55,G.E.M.邓紫棋,7763,句号,1405283464,摩天动物园,http://p2.music.126.net/KTo5oSxH3CPA5PBTeFKDyA==/109951164581432409.jpg,84391762,12,2024-11-20 10:51:55,https://music.163.com/song?id=1405283464,Unknown,2024-11-20
Unknown,3:25,"陈粒, 孟维来","1007170, 30470286",野人 (Live版),2644174802,有歌2024 第5期,http://p2.music.126.net/9nIJCrQiqS68xwp1ehipOw==/109951170127092947.jpg,253091355,4,2024-11-20 10:51:55,https://music.163.com/song?id=2644174802,Unknown,2024-11-20
2016-07-25,4:00,陈粒,1007170,虚拟,421423808,小梦大半,http://p2.music.126.net/HQxTggMCB7AHUXN-ZFEtmA==/1371091013186741.jpg,34780579,9,2024-11-20 10:51:55,https://music.163.com/song?id=421423808,Unknown,2024-11-20
2020-03-31,3:38,周公,33850620,不说 (原来是不说),1436117704,不说,http://p2.music.126.net/4mN_bQBA73s7i6uQxIFAbA==/109951169297707016.jpg,87190814,1,2024-11-20 10:51:55,https://music.163.com/song?id=1436117704,Unknown,2024-11-20
2012-11-22,4:48,方大同,2738,麦恩莉,25648006,回到未来,http://p1.music.126.net/8I4zvpNSsj--wGNg-mE2kw==/109951168870428045.jpg,2265001,6,2024-11-20 10:51:55,https://music.163.com/song?id=25648006,Unknown,2024-11-20
2023-07-09,4:36,单依纯,29802127,想你时风起,2062623445,我的人间烟火 电视剧原声带,http://p2.music.126.net/jdtkAVxASgsZtN243m19NA==/109951168728196721.jpg,169269527,4,2024-11-20 10:51:55,https://music.163.com/song?id=2062623445,Unknown,2024-11-20
2018-12-02,5:25,买辣椒也用券,12085562,起风了,1330348068,起风了,http://p2.music.126.net/diGAyEmpymX8G7JcnElncQ==/109951163699673355.jpg,74715426,1,2024-11-20 10:51:55,https://music.163.com/song?id=1330348068,Unknown,2024-11-20
2009-06-17,3:32,张芸京,10572,偏爱,86369,仙剑奇侠传三 电视原声带,http://p2.music.126.net/a4KYp477snGHe3ZyjVpe1w==/109951165351505570.jpg,8466,6,2024-11-20 10:51:55,https://music.163.com/song?id=86369,Unknown,2024-11-20
2018-05-02,4:00,张紫豪,13906123,可不可以,553755659,可不可以,http://p2.music.126.net/WafK2OQfEtqXitdDXJ772Q==/109951163252847249.jpg,38385235,1,2024-11-20 10:51:55,https://music.163.com/song?id=553755659,Unknown,2024-11-20
Unknown,4:52,告五人,12676697,爱人错过,1368754688,我肯定在几百年前就说过爱你,http://p2.music.126.net/5JLQMl8xASllDubCWb9WHw==/109951164111703663.jpg,79515295,1,2024-11-20 10:51:55,https://music.163.com/song?id=1368754688,Unknown,2024-11-20
2022-03-09,4:36,郑润泽,29051613,小胡同,1926623288,小胡同,http://p2.music.126.net/QsebYbDgQtKelH6r1iE2Fg==/109951167129280730.jpg,141510248,1,2024-11-20 10:51:55,https://music.163.com/song?id=1926623288,Unknown,2024-11-20
2019-12-24,4:59,告五人,12676697,带我去找夜生活,1410647903,带我去找夜生活,http://p2.music.126.net/lmCtt6-3fOPSdA1uwGCY5Q==/109951164567402626.jpg,84219287,1,2024-11-20 10:51:55,https://music.163.com/song?id=1410647903,Unknown,2024-11-20
Unknown,4:20,"菲道尔, Dior大颖","34908208, 36706730",在加纳共和国离婚 (你还爱我吗),2072639869,在加纳共和国离婚,http://p2.music.126.net/WuRlLMuXJO9rsT_nx4lLgA==/109951169509984289.jpg,172172609,1,2024-11-20 10:51:55,https://music.163.com/song?id=2072639869,Unknown,2024-11-20
Unknown,3:59,"董唧唧, 何村猪","12760523, 47841055",想你 (我和你的关系),2638631174,想你,http://p2.music.126.net/tbONLs8n2NgEoha7kmFWmA==/109951170144470387.jpg,251402245,1,2024-11-20 10:51:55,https://music.163.com/song?id=2638631174,Unknown,2024-11-20
2008-12-31,3:52,草蜢,11265,半点心,349981,Grasshopper Ⅳ,http://p2.music.126.net/n9lKjrDlYFGrEjZkLwhL0w==/109951169342451691.jpg,34497,6,2024-11-20 10:51:55,https://music.163.com/song?id=349981,Unknown,2024-11-20
Unknown,2:44,李荣浩,4292,慢冷 (Live),1969822728,2022中国好声音 第1期,http://p2.music.126.net/jElhQmMdFiVFtFPvWtVbFw==/109951167749864067.jpg,149250713,2,2024-11-20 10:51:55,https://music.163.com/song?id=1969822728,Unknown,2024-11-20
2008-11-14,3:26,蔡健雅,7214,红色高跟鞋,208902,若你碰到他,http://p1.music.126.net/jJOaqlez9x5VofjgB7B_Bw==/109951166195459631.jpg,21252,4,2024-11-20 10:51:55,https://music.163.com/song?id=208902,Unknown,2024-11-20
2023-02-03,3:09,郑润泽,29051613,遐想,2018733994,梦游,http://p1.music.126.net/Ws93IUrJGR_lK-QEsdKTWw==/109951168408373477.jpg,160692469,12,2024-11-20 10:51:55,https://music.163.com/song?id=2018733994,Unknown,2024-11-20
Unknown,4:52,"汪苏泷, 徐佳莹","5538, 9940",如果可以 (Live版),2149816863,天赐的声音第五季 第1期,http://p2.music.126.net/9AP_AJLaACliGYpclAlz2g==/109951169534405328.jpg,193692363,2,2024-11-20 10:51:55,https://music.163.com/song?id=2149816863,Unknown,2024-11-20
2018-02-26,3:44,"九块钱, Max不爱说话","12433657, 12641108",颓,541648644,颓,http://p2.music.126.net/yDgcXp3ayvuHbFkKTwfeWA==/109951163165588935.jpg,37745279,1,2024-11-20 10:51:55,https://music.163.com/song?id=541648644,Unknown,2024-11-20
2024-07-13,3:16,"曾舜晞, JORDANN","12008056, 338718",Dehors（中法合唱版）,2607303573,Dehors,http://p2.music.126.net/PwwgQoOeILQbWi4O2kqhJg==/109951169775041084.jpg,241958316,1,2024-11-20 10:51:55,https://music.163.com/song?id=2607303573,Unknown,2024-11-20
Unknown,2:33,C.HØPE,34172520,沉沦与遐想,1492584510,沉沦与遐想,http://p2.music.126.net/7BgLADW7ZJqPizR918S5UQ==/109951166179751996.jpg,130342502,2,2024-11-20 10:51:55,https://music.163.com/song?id=1492584510,Unknown,2024-11-20
2013-12-30,3:47,家家,690001,命运,2005492223,为你的寂寞唱歌,http://p2.music.126.net/sf5h4QpYty8fKiLrpwJKqw==/109951168144061436.jpg,2739012,13,2024-11-20 10:51:55,https://music.163.com/song?id=2005492223,Unknown,2024-11-20
Unknown,3:06,"Aioz, 刘思达LOFTHESTAR, 张天枢","29235210, 12030367, 33371675",算了吧,1908049566,算了吧,http://p2.music.126.net/imN8WzDuirHVdFm4-E3ofA==/109951166871655381.jpg,138203677,1,2024-11-20 10:51:55,https://music.163.com/song?id=1908049566,Unknown,2024-11-20
2011-11-17,4:23,蔡健雅,7214,Letting Go,208891,说到爱,http://p2.music.126.net/VTZde5VdBm_u2WH0Pc9HQQ==/109951165561227373.jpg,21250,8,2024-11-20 10:51:55,https://music.163.com/song?id=208891,Unknown,2024-11-20
2010-09-16,4:05,江语晨,8153,最后一页,247936,恋习,http://p2.music.126.net/XvVUZQTCxmhjNOcfEnJYew==/109951163610134059.jpg,24837,2,2024-11-20 10:51:55,https://music.163.com/song?id=247936,Unknown,2024-11-20
2013-12-19,3:52,张杰,6472,他不懂,28059417,爱，不解释,http://p2.music.126.net/mW53BkMgGy37I7yVrUg-aQ==/109951163117902077.jpg,2643348,1,2024-11-20 10:51:55,https://music.163.com/song?id=28059417,Unknown,2024-11-20
2006-12-31,4:45,陈奕迅,2116,淘汰,65528,认了吧,http://p2.music.126.net/o_OjL_NZNoeog9fIjBXAyw==/18782957139233959.jpg,6434,2,2024-11-20 10:51:55,https://music.163.com/song?id=65528,Unknown,2024-11-20
2020-10-08,2:26,"Michael Calfan, INNA","129236, 60848",Call Me Now,1485309632,Call Me Now,http://p2.music.126.net/UZ8EUcmvo2z90Rmw5xu6yw==/109951165373625420.jpg,96491610,1,2024-11-20 10:51:55,https://music.163.com/song?id=1485309632,Unknown,2024-11-20
